file	sheet	max_row	max_col	nonempty_rows	header_row_index	sample	error
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx	老百姓大药房煎药机采购项目	38	14	35		报价单 | | | | | | | | | | | | | || 项目名称：老百姓大药房切片机、打粉机采购项目 | | | | | | | | | | | | | || 报价单位： | | | | | | | | | | | | | || 报价时间： | | | | | | | | | | | | | || 下单方式：门店按实际需要不定时下单 | | | | | | | | | | | | | || 付款方式：银行转账，甲方收到货确认无误后，乙方向甲方开具发票，甲方收到发票后30天内支付当批次货款。 | | | | | | | | | | | | |	
昆中药项目物料需求-报价单.xlsx	订阅模式不含源代码	15	10	15	5	项目名称 | 老百姓集团昆中药项目物料 | | | | | | | | || 公司名称 | | | | | | | | | || 日期 | | | | | | | | | || 法定代表人/授权代理人（签字） | | | | | | | | | || 填表须知： 1.物料由供应商安装、摆放至老百姓大药房的8家门店（具体门店地址暂未定，均在长沙市），安装、摆放完成时间为5月24日，活动预计持续至6月中旬，活动结束后，供应商需负责拆卸物料并运走； 2.物料供应商需出一名平面设计师和老百姓的设计师一起核对最终设计稿； 3.物料的数量可能有少量增减。 | | | | | | | | | || 序号 | 物料类型 | 尺寸 | 材质 | 门店数 | 每家门店摆放数量 | 总数量 | 含税单价（元） | 小计（元） |	
昆中药项目物料需求-报价单_1.xlsx	订阅模式不含源代码	15	10	15	5	项目名称 | 老百姓集团昆中药项目物料 | | | | | | | | || 公司名称 | | | | | | | | | || 日期 | | | | | | | | | || 法定代表人/授权代理人（签字） | | | | | | | | | || 填表须知： 1.物料由供应商安装、摆放至老百姓大药房的8家门店（具体门店地址暂未定，均在长沙市），安装、摆放完成时间为5月24日，活动预计持续至6月中旬，活动结束后，供应商需负责拆卸物料并运走； 2.物料供应商需出一名平面设计师和老百姓的设计师一起核对最终设计稿； 3.物料的数量可能有少量增减。 | | | | | | | | | || 序号 | 物料类型 | 尺寸 | 材质 | 门店数 | 每家门店摆放数量 | 总数量 | 含税单价（元） | 小计（元） |	
消防器材报价单-模版.xlsx							BadZipFile('File is not a zip file')
老百姓总部商务车维保报价单.xlsx	Sheet1	34	9	34		| 老百姓商务车维保报价单 | | | | | | | || | 报价单位： | | | | | | | || | 报价单位地址： | | | | | | | || | 报价单位简介：（业务量、维修车辆等） | | | | | | | || | 报价时间： | | | | | | | || | 老百姓总部地址为开福区青竹湖路808号。 | | | | | | |	
老百姓总部商务车维保报价单2025.11.25.xlsx	01常规保养报价单	37	11	36		| 老百姓商务车维保报价单 | | | | | | | | | || | 报价单位： | | | | | | | | | || | 报价单位地址： | | | | | | | | | || | 报价单位简介：（维保人员数量、月度维保车辆大致数量、占地面积、擅长维修的车辆品牌、型号等） | | | | | | | | | || | 报价时间： | | | | | | | | | || | 注意：两张报价单均需要报价，系统上传的总价为本张报价单合计金额。请注意填写所有标黄部分。报价单无需盖章，直接上传表格即可，以系统上传价格为准。 | | | | | | | | |	
老百姓总部商务车维保报价单2025.11.25.xlsx	02其他保养报价单	22	14	22		| 报价单位： | | | | | | | | | | | | || | 报价单位地址： | | | | | | | | | | | | || | 报价时间： | | | | | | | | | | | | || | 序号 | 保养类型 | 项目 | 品牌 | 单位 | 别克GL8（LSGUL83L9LA266276） | 别克GL8（LSGUL83L0HA120002） | 别克GL8（LSGUA8278HE019227） | 丰田阿尔法 | 考斯特（需求量小，2025年未保养） | 比亚迪C8（仅需报油漆和整车抛光的价格） | 金龙 （仅需报油漆和整车抛光的价格） | || | 1 | 大保养 | 变速箱油 | 需求量 | 元/L | | | | | | / | / | || | 2 | | 火花塞 | 需求量 | 元/支 | | | | | | / | / |	
老百姓酒店用品报价单2025.11.26.xlsx	Sheet0	15	10	14		老百姓酒店用品报价单 | | | | | | | | | || 报价单位： | | | | | | | | | || 报价时间： | | | | | | | | | || 说明：中标单位需先行送样，样品合格后再配送全部产品。如样品不符合规格及配置要求，招标方有权退回样品，邮费由中标方自理。 | | | | | | | | | || 送货地址：长沙市开福区青竹湖路808号一楼酒店前台。 | | | | | | | | | || 付款方式：签订合同，货到票到后，一次性以银行转账的方式支付全款。 | | | | | | | | |	
附件五 2026 收银设备统采标准.xlsx	集团行政部及其他业务部门，提供需要统采的信息设备清单	5	10	5		统采设备 | | | | 25统采标准 | | | | | || 品类 | 序号 | 设备名称 | 适用场景 | 配置参数标准说明 | 预计总量 | 预估价格 | 计划应标：品牌/型号 | 特殊情况要求 | 保修要求说明 || 台式机主机 | 1.3 | 专业设计岗台式机主机（不含显示器） | 专业设计岗 | Intel 酷睿i7-13代 13700 或性能以上 内存：32G 硬盘：SSD512G+2T 鼠键：黑/白，PS/2 接口：HDMI输出/1网/6USB以上 显卡：独立4G显存 音频：集声+Aduio 电源：≥300W 操作系统：win10 64位 硬盘分区：CD区 保修：6年上门质保 | | | | 1、供货产品型号，配置变化，提供不低原电脑性能的电脑替换（CPU、内存、硬盘、屏幕、电池等） | 1.台式机电脑主机保修期6年含键鼠，6年上门保修，保修项目及政策，依据国家电子产品保修政策及厂家官方网站查询政策为准 2.在各地厂家官方指定售后，依据原厂官方保修政策进行保修 3.保修期限及服务内容官方网站可查询 4.提供服务承诺含需要包含以上内容 || 显示器 | 2.4 | 特大号型显示器 | 1.中高层管理办公室或工位桌面屏 | 屏幕尺寸：23.8 寸 分辨率： 1920*1080 接口：VGA+HDMI 保修期：3年上门质保 颜色：黑色 其他：商用显示器，低蓝光，莱茵认证，3年质保 | | | | 1、供货产品型号，配置变化，提供不低原显示器性能的设备替换 | 1.显示器保修期6年，6年上门保修，保修项目及政策，依据国家电子产品保修政策及厂家官方网站查询政策为准 2.在各地厂家官方指定售后，依据原厂官方保修政策进行保修 3.保修期限及服务内容官方网站可查询 4.提供服务承诺含需要包含以上内容 || 一体机电脑 | 4.1 | 总部办 | 1、集团总部客服服务中心办公 | CPU： i5-12代H系列或以上） 内存 ：16G或以上 硬盘： 512SSD或以上 屏幕：27寸 接口：集显/HDMI输出/10USB 配件：无线键鼠 显卡：集显 保修说明：原厂保修，以官方网站政策为准 | | | 联想:小新 27-1AP（业务要期望的型号） | 1、供货产品型号，配置变化，提供不低原电脑性能的电脑替换（CPU、内存、硬盘、屏幕、电池等） | 1.一体机电脑保修期3年含键鼠，保修项目及政策，依据国家电子产品保修政策及厂家官方网站查询政策为准 2.在各地厂家官方指定售后，依据保修政策进行保修 3.保修期限及服务内容官方网站可查询 4.提供服务承诺含需要包含以上内容	
附件五 2026 收银设备统采标准.xlsx	说明	19	7	19		年份 | 设备 | 合同图片 | 合同说明 | 立项统采标准 | 说明 | 查询网站 || 24年统采合同 | 联想电脑主机 | | 6年上门质保 | 电脑及收银设备统采标准-2024 | | https://newsupport.lenovo.com.cn/ || | 联想显示器 | | 3年上门质保 （单独购买3年保服务，随整机下单按整机服务） | | 显示器随整机下单，可以通过电脑主机序列号，联想官方网站查询到显示器的保修 显示期单独下单，可以通过显示器序列号，联想官方网站查询到显示器的保修 | || | 联想笔记本 | | 3年上门质保，含电池 | | | || | 惠普电脑主机 | | 6年上门质保 | | | https://support.hp.com/cn-zh/check-warranty || | 惠普显示器 | | 3年上门质保 | | |	
附件五 2026 收银设备统采标准.xlsx	1. 2《电脑设备采购项目》服务及售后	4	2	2	2	联想 | 惠普 || 1、电脑主机保修期6年含键鼠，6年上门保修，保修项目及政策，依据国家电子产品保修政策及厂家官方网站查询政策为准 2、在全国 4400家服务站，原厂专业工程师上门服务，依据保修政策进行7x24小时保障全域IT服务。 3、联想大客户服务日，次/季度，每次按不低于4个人天执行，解决不限于联想品牌设备问题 4、VIP服务站现场锁定服务（集团总部绑定就近开福区站点快速响应） 5、400专属密码直通 6、一诺闪修服务（当天下午4点前报修，联想会在下一自然日24点前完成设备修复若没有完成修复，则为客户免费赠送延迟日数对应的月度延保服务） 7、3年1次数据拯救 | 针对老百姓大药房客户，惠普基础保修服务内容： 1.保修方式：原厂现场服务 2.保修期限：自购买日起，6年的原厂上门保修（具体保修期限请参见您产品保修卡上的信息），客户在购买机器的同时也购买了该产品的标准保修服务。 3.响应时效：现场服务响应时间:惠普承诺用户报修后4个工作小时内电话响应，同一城市内第二个工作日现场响应。24小时客服实时在线响应。 4.保修政策：用户请妥善保存保修卡及购机时经销商开具的国家税务局标准发票或其复印件凭证作为保修依据； 5.适用范围：中华人民共和国境内； 针对老百姓大药房客户，惠普特色服务内容： 1.惠普大客户服务日，应客户要求，可每季度提供一次惠普金牌工程师驻点服务，提供IT设备维护保养及日常IT产品维护交流沟通（不限定品牌） 2.提供老百姓大药房售后专员跟踪服务，指定一名惠普AMS大客户售后专员，为老百姓大药房疑难售后提供专职服务。 3.接受老百姓定制化需求，如开机画面/固定资产标签/指定系统镜像安装服务。 惠普售后体系说明： 1、业界领先的惠普全球客户关怀中心，全年无休，全自营专业工程师严格认证以及完备的知识库，远程快速解决故障。 2、便捷的微信官方服务号及多种形式的线上服务，7×24小时智能小惠在线，多种保修渠道，避免保修等待。 3、全国无盲点覆盖的惠普维修服务网，.惠普公司的服务网络已经在全国设立了超过3200个服务点, 服务覆盖市县超过1200个，全面覆盖1-6级城市。惠普公司的上门服务能力可以覆盖全国所有的地区，范围没有任何距离限制（公共交通工具可以到达的任何地点），覆盖所有地区的市、县、镇、乡。打印机与电脑 4、专业备件库，在中国所有的中心城市以及重要区域城市建立了16个全国及省级专业备件库满足标准服务需求，高效的备件运作，365天的备件支持体系 惠普7×24×365官网在线支持体系 5、惠普7×24×365官网在线支持体系，为满足不同类型用户需求，方便用户可以更快捷、有效获得相应信息或针对产品的解决方案，惠普提供多渠道响应方式。 6、完善的惠普售后服务流程，惠普公司有着业界严格和规范的流程来处理客户在使用机器过程中的各种问题，对于用户出现的故障，惠普将保证全国范围内的用户报修的机器得到及时处理。 细分为：1）免费上门服务支持流程 2） 疑难问题升级流程及管理 7、专业服务专家和丰富的技术服务 ，惠普拥有遍布全球的IT资源，	
附件五 2026 收银设备统采标准.xlsx	《收银设备采购项目》标准-2026	29	22	28		2026年《收银设备采购项目》标准 | | | | | | | | | | | | | | | | | | | | | || 统采设备 | | | | 统采标准 | | | | | | | | | | | | | | | | | || 品类 | 序号 | 设备名称 | 适用场景 | 配置参数要求 | 选项 | 使用频率 | 总量 | 品牌 | 型号 | 接口 | 采购建议 | 保修期 | | | | | | | | | || 插座 | 1 | 插座 | 门店收银台及弱电柜的电源插座 | 总控+10位通用插孔（2/3孔通用），线长3米，2500W功率，过载保护。 | 必备 | 高 | 20 | 公牛 | GN-605 | / | | 1年 | | | | | | | | | || 扫描平台 | 2 | 扫描平台 | 门店商品条码和付款码扫描、支持一维、二维码扫描。 | 支持一维二维条码扫描，支持LCD和OLED手机屏，支持弯曲超长超密扫码，不间断使用4万小时以上，3年保修。 | 必备 | 特高 | 400 | 霍尼韦尔 | HF680 | USB | | 3年 | | | | | | | | | 、 || 钱箱 | 3 | 钱箱 | 门店收银钱箱 | 颜色：黑/白/灰，五格：硬币/纸币可调，三档：自动/手动/锁定，支持状态检测，尺寸不超410×420×100mm，3年保修。 | 必备 | 中 | 20 | 爱宝 | JY-405 | RJ11 | | 3年 | | | | | | | | |	
附件五 2026 收银设备统采标准.xlsx	26年资料	1	1	1		260209 电话厂家，要26年统采设备目录 1、收银设备不变，关注打印机硒鼓 罗卫 【腾讯文档】LBX26年门店收银设备统采标准 https://docs.qq.com/sheet/DSnp5eVZTR0VtRW14?tab=BB08J2 2.、电脑26年全年是涨价趋势，台式电脑预计会跟换到14代CPU 王良秀 【腾讯文档】LBX26年电脑统采标准 https://docs.qq.com/sheet/DSnJRV0xkUkhOWEtt?tab=BB08J2 1、26年电脑、收银设备统采标准 2、25年的统采设备，咨询供应商26年是否可以继续供货 3、硒鼓行政已统采，咨询行政统采打印机的硒鼓是否都在行政的统采合同内 4、一体机电脑，咨询客服蒋煌，26年是否有采购需求	
附件五 2026 收银设备统采标准.xlsx	投标品牌.供应商	12	10	11		25年 | | | | | | | | 融信和 （联想） | || 品类 | 序号 | 设备名称 | 规格* | CPU/内存/硬盘 | 24年统采价格 | 数量 | 单位* | 单价 | || 台式机主机 | 1.1 | 标配型台式机主机（不含显示器） | CPU-I3 | 13100/16G/512G 联想：13100/16G/512G 惠普：13100/16G/512G 华为：13100/16G/512G 宏基：13100/16G/512G | 2920 | | 台 | 3485 | || | 1.2 | 高配型台式机主机（不含显示器） | CPU-I5 | 联想：13400/16G/512G 惠普：13500/16G/512G(性能高) 华为：13400/16G/512G 宏基：13400/16G/512G | 3295 | | 台 | 3960 | || | 1.3 | 专业设计岗台式机主机（不含显示器） | CPU-I7 | 各品牌：13700/32G/512G+2T | 4000 | | 台 | 6550 | || 显示器 | 2.1 | 标配型显示器 | 21寸 | / | 500 | | 台 | 530 |	
附件五 2026 收银设备统采标准.xlsx	2. 2《收银设备采购项目》服务及售后	2	3	2		2024年统采合同 | 收银设备全国联采协议(标拓) 202401 (1).doc | LBX-ZG-HTSP2024022900001234 经办部门 非经营性采购组 贺启雁 湖南标拓电子科技有限公司 2024年集团电脑及收银设备统采 非商品采购定标审批单-贺启雁-2024-02-06 老百姓与湖南标拓签订2024年收银设备框架协议，合同内价格含税13%。 || | | 4、服务内容 4.1产品质量保证 所有型号产品（包括所有的零部件）均为经检验合格的全新品。我司承诺从正规渠道进货，并保证不拆换、不调换、不截流产品零部件；不以少充多、不以旧充新，不以劣充优，不以假充真；不提供降低产品等级标准或存在缺陷的产品。 4.2 故障响应 7*24小时服务： 每周7天，每天24小时为用户提供电话及邮件咨询服务，用户随时随地拨打我公司的技术支持电话或我公司本项目专案售后服务小组组长的手机电话要求我技术服务支持 0.5小时响应： 接到用户服务咨询电话后，我公司技术人员在0.5小时内针对用户提出的问题进行回复。通过电话或邮件的方式协助用户定位系统故障、寻求解决办法。 4小时现场服务： 如果故障通过电话、邮件或远程登录系统的方法不能解决问题，我公司承派工程师在4小时赶到事故现场，是软件故障我方将在现场为您解决故障；是硬件故障我方将在第一时间与故障设备的维修站取得联系，协助维修站在48小时内解决故障。如果未能解决我方将为贵方提供备用设备，以保证贵方工作的正常进行。 4.3 安装调试服务 本公司对所售设备均免费送货上门到达需方指定地点并且由我方负责支付途中一切费用，根据客户的需求派专业的安装人员及维护人员免费进行安装、调试，并向贵方有关人员讲解产品和系统结构与调试方法，包括系统的性能、技术特点、调试技巧等有关技术原理、方法，指导解决调试过程中出现的技术问题等。并在最短的时间内将产品安装调试到最佳状态，并将对安装、调试的过程进行详实的记录. 4.4 产品保修服务 在保修期内如果同一设备由于同一质量问题连续三次维修仍不能正常使用，我公司承诺免费予以更换同品牌、同型号的新设备。 在保修期外如若发生设备发生故障无法修复需更换的情况，我方负责予以更换，按厂家标准收取相应的成本费用。	
附件五 2026 收银设备统采标准.xlsx	2024年供应商联系清单	201	11	12		序号 | 设备 | 品牌 | 公司名称 | 渠道资质 | 联系人姓名 | 联系人电话 | 联系人角色 | 中标年度 | 备注说明 | || 1 | 电脑 | 联想 | 联想电脑厂商 | 厂商 | 王良秀 | 18911778700 | 湖南大区大客户经理 | 2020,2021,2022,2023,2024 | | 关于2024年集团电脑及收银设备统采标准说明 || 2 | 电脑 | 联想 | 湖南融信和科技有限公司 | 经销商 | 贺丽芳 | 13739074551 | 省级总代经销商 | 2020,2021,2022,2023,2024 | | || 3 | 电脑 | 惠普 | 惠普电脑厂商 | 厂商 | 吕龙伟 | 18670083374 | 湖南大区大客户经理 | 2022,2023,2024 | 2022年引入 | || 4 | 电脑 | 惠普 | 武汉永盛昌源商贸有限公司 | 经销商 | 耿强 | 18627786628 | 省级总代经销商 | 2022,2023,2024 | | || 5 | 电脑 | 华为 | 华为电脑厂商 | 厂商 | 胡显波 | 18373365850 | 湖南终端大客户经理 | 2024 | |	
附件五 2026 收银设备统采标准.xlsx	资料	1	1	1		"杨洲 12-11 11:06:13 参数 产品代码Q32P2C 屏幕尺寸(对角)31.5""W 可视尺寸(对角)80.1cm 屏幕宽高比16:9 面板类型IPS技术 点距0.2727(H)x0.2727(V)mm 画面尺寸698.112(H)X392.688(V)mm 亮度(典型值)250 cd/m² 对比度(典型值/最小值)1200:1/1000:1 动态对比度(典型值)50000000:1 响应时间(典型值)4ms GtG 可视角度(水平/垂直)(典型值)178°/178°(CR>10) 扫描频率水平: 30k - 114kHz 垂直: 48 - 75Hz 最大分辨率2560x1440@75Hz 显示颜色10.7亿[1] 色域(典型值)72% NTSC色域面积 (基于CIE 1931) 80% NTSC色域面积(基于CIE 1976) 出厂校色(平均值)ΔE<2 HDCP功能有 接口HDMI×2,DP,USB C(DP Alt),USB3.2 Gen1×4, USB上行, 音频输出 即插即用VESA DDC2B/CI 喇叭无 额定电源100-240VAC, 50/60Hz, 2.0A 消耗功率正常工作:40W（典型值）; 待机:≤0.5W 用户控制信号源切换/退出 , Clear Vision/减少, 音量/增加,菜单/选择,电源开关 OSD语言英文, 德语, 法语 ,意大利语, 西班牙语, 瑞典语, 波兰语 ,捷克语, 俄语, 葡萄牙语,韩语, 繁体中文, 简体中文, 日语,芬兰语,荷兰语,土耳其语 认证CCC，CH RoHS，CEL，CECP，Win10，TUV低蓝光认证，CE，FCC，cTUVus，ISO 9241-307，中国环境标志 外壳颜色黑色 壁挂VESA 100mm×100mm 快拆支架支持 支架倾斜: -5°-22° 垂直旋转: +/-90° 高度调整: 150mm 左右旋转: +/-175° 显示器(含支架/底座)730.2(W)x(501.5~651.5)(H)x275.1(D)mm 显示器(不含支架/底座)730.2(W)x434.2(H)x57.7(D)mm 包装箱835(W)x545(H)x225(D)mm 净重(含支架/底座)9.2kg 净重(不含支架/底座)6.1kg 毛重(含包装)12.1kg 杨洲 12-11 11:06:20"	
附件五 2026 收银设备统采标准.xlsx	X. 电脑统采标准-X	190	23	11	5	"LBX电脑设备统采标准 | | | | | | | | | | | | | | | 电脑及收银设备统采标准-2023 | | | 一体化收银机 | | | | || 统采设备 | | | | 统采配置-2023 | | | 统采配置-2024 | | | | | 2024年预估价：元（含税） | | | 2023年参考价：元（含税） | | | | | | | || 品类 | 序号 | 设备名称 | 适用场景 | 配置参数要求 | 总量 | 参考价 | 配置参数要求 | 预估量 | 参考价 | 对比2023年变化说明 | 品牌/型号 | 联想 | 惠普 | 华为 （新增品牌) | 联想 | 惠普 | | | | | | || 台式机 | 1 | 标配型台式机 | 1. 门店收银和办公。 2. 总部有固定办公机位需求的场景 | CPU：Intel 酷睿i3-12100 3.3GHz 4C 内存：8G DDR4 单条 硬盘：512G SSD 鼠键：黑/白 接口： 集显+VGA+HDMI（必配） 1并/2串/2PS/2网口：（必配） 10USB：（必配） 音频：集声+Aduio（必配） 电源：≥300W，大功率电源（必配） 机箱：≤18L ，黑/白 操作系统：win10 64位 硬盘分区：CD区 保修：6年上门质保 | 3000 | 3300 | CPU：Intel 酷睿i3-12100 3.3GHz 4C 内存：16G DDR4 单条 硬盘：512G SSD 鼠键：黑/白 接口： 集显+VGA+HDMI（必配） 1并/2串/2PS/2网口： 10USB：（必配） 音频：集声+Aduio（必配） 电源：≥300W，大功率电源（必配） 机箱：10~18L ，黑/白 操作系统：win10 64位 硬盘分区：CD区 保修：5年上门质保 | 3000 | 3300 | 主要变化： 1. 内存由8G统一到16G。（应对收银和办公通用） 2. 接口1并/2串/2PS/2网，由必配改为：仅门店必配,总部无需配置。（战区电脑用不上不选择可节约双网口成本） 3. 由原来6档型号台式机，调整到1档型号。原门店收银、办公、普通岗统一到""标配型台式机""i3 16G。原大数据、开发、设计岗转到2档笔记本型号。特殊型号需求单独申请采购。 | 1. 联想： 启天M455 2. 惠普: 288 Pro G9 3. 华为： 擎云B730 4. 海石： 一体化收银机HK560 | 3150 | 3200 | 3200 | 3300 | 3270 | | | | | | || 显示器 | 2.1 | 标配型显示器 | 1. 门店收银和办公台式机标配显示器。 | 屏幕尺寸：19.5寸 分辨率：1600*900 接口：VGA+HDMI 保修期：3年上门质保 颜色：黑色 其他：商用型，低蓝光，莱茵认证，支持双屏安装，底座不影响收银摆放。 | 2000 | 520 | 屏幕尺寸：21.5寸 分辨率： 1920*1080 接口：VGA+HDMI 保修期：3年上门质保 颜色：黑色 其他：商用型，低蓝光，莱茵认证，支持双屏安装，底座不影响收银摆放。 | 3000 | 600 | 主要变化： 1、19.5寸1600*900升级换到21.5寸 1920*1080 （市场主流生产21寸屏） | 1.联想： thinkvision TE22 2.惠普: HP P22vG5 3.华为： B3-211H | 600 | 690 | 550 | 520 | 520 | | | | | | || | 2.2 | 大号型显示器 | 1. 总部办公台式机标配显示器。 2. 小型会议、洽谈室桌面屏。 3. 中高层管理办公室或工位桌面屏 4. 其它有必需双屏展示沟通的场景。 | 屏幕尺寸：23.8 寸 分辨率： 1920*1080 接口：VGA+HDMI 保修期：3年上门质保 颜色：黑色 其他：商用显示器，低蓝光，莱茵认证，3年质保 | 200 | 750 | 屏幕尺寸：23.8 寸 分辨率： 1920*1080 接口：VGA+HDMI 保修期：3年上门质保 颜色：黑色 其他：商用显示器，低蓝光，莱茵认证，3年质保 | 200 | 750 | 主要变化：无 | 1. 联想： thinkvision T24A 2. 惠普: HP P24v G5 3. 华为： B3-241H | 750 | 750 | 650 | 750 | 750 | | | | | |"	
